Designator,Mid X,Mid Y,Rotation,Layer
J1,-102,-52.1,180,bottom
J2,-102,-101.1,180,bottom
J3,-158.5,-52.1,180,bottom
J4,-158.5,-101.1,180,bottom
C1,106.6,-62.9,-90,T
C2,112,-62.9,-90,T
C3,117.3,-62.9,-90,T
C4,152.5,-58,90,T
C5,109.3,-76.3,180,T
C6,109.3,-78,180,T
C7,122.7,-78,0,T
C8,122.7,-76.3,0,T
C9,151.3,-99.7,180,T
C10,146.2,-114,180,T
C11,146.2,-112.2,180,T
C12,131.1,-102.1,0,T
C13,131.1,-103.6,0,T
C14,131.1,-107.6,0,T
C15,131.1,-109.1,0,T
C16,122.7,-102.3,180,T
C17,122.7,-87,180,T
C18,109.3,-87,0,T
C19,109.3,-102.3,0,T
C20,109.3,-83.6,0,T
C21,120,-101.6,-90,T
C22,120.1,-87.8,-90,T
C23,136.4,-96.1,-90,T
C24,147.55,-91.7,-90,T
C25,138.7,-91.7,-90,T
C26,136.4,-111.1,90,T
C27,122.7,-95.5,180,T
C28,109.3,-93.8,0,T
C29,109.3,-95.5,0,T
C30,122.7,-93.8,180,T
D1,117.45,-54.15,90,T
D2,152.5,-52.9,0,T
FID1,102,-90.6,90,T
J5,125.4,-58.1,0,T
J6,157.975,-95.7,-90,T
J7,152.5,-118.71,90,T
J8,149.2,-127.5,0,T
J9,147.225,-67.5,90,T
L1,131.1,-105.6,0,T
Q1,114.1125,-125.2,0,T
Q2,119.0125,-125.2,0,T
Q3,123.9125,-125.2,0,T
Q4,128.8125,-125.2,0,T
Q5,133.7125,-125.2,0,T
R1,109.3,-72.9,0,T
R2,109.3,-74.6,0,T
R3,109.3,-81.4,0,T
R4,109.3,-79.7,0,T
R5,122.7,-72.9,180,T
R6,122.7,-74.6,180,T
R7,122.7,-81.4,180,T
R8,122.7,-79.7,180,T
R9,151.2875,-101.4,180,T
R10,114.1125,-127.9,0,T
R11,119.0125,-127.9,0,T
R12,123.9125,-127.9,0,T
R13,128.8125,-127.9,0,T
R14,109.3,-100.6,0,T
R15,114.1125,-122.5,0,T
R16,119.0125,-122.5,0,T
R17,123.9125,-122.5,0,T
R18,128.8125,-122.5,180,T
R19,109.3,-108.2,180,T
R20,109.3,-113.2,180,T
R21,122.7,-113.2,0,T
R22,122.7,-108.2,0,T
R23,109.3,-106.5,180,T
R24,109.3,-114.9,180,T
R25,122.7,-114.9,0,T
R26,122.7,-106.5,0,T
R27,122.7,-98.9,0,T
R28,122.7,-100.6,180,T
R29,109.3,-88.7,0,T
R30,109.3,-98.9,180,T
R31,109.3,-85.3,0,T
R32,122.7,-90.4,0,T
R33,122.7,-88.7,180,T
R34,109.3,-90.4,180,T
R35,131.1,-93.8,180,T
R36,135.2,-75.8,180,T
R37,131.0875,-90.4,180,T
R38,135.2,-78.3,180,T
R39,131.1,-92.1,180,T
R40,148,-78.3,0,T
R41,131.1,-88.7,180,T
R42,148,-75.8,0,T
R43,135.2,-74.1,180,T
R44,135.2,-80,180,T
R45,148,-80,0,T
R46,148,-74.1,0,T
R47,135.2,-70.7,180,T
R48,133.7125,-127.9,0,T
R49,133.7125,-122.5,0,T
R50,135.2,-81.7,0,T
R51,148,-83.4,0,T
R52,148,-72.4,0,T
R53,122.7,-97.2,0,T
R54,109.3,-92.1,180,T
R55,109.3,-97.2,180,T
R56,122.7,-92.1,0,T
R57,135.2,-72.4,0,T
R58,135.2,-83.4,0,T
R59,148,-81.7,0,T
R60,148.1,-70.7,0,T
RESET1,156.6,-88.4,90,T
U1,141.6,-103.6,-90,T
U2,116,-94.7,0,T
U3,109.65,-55.05,180,T
U4,116,-110.7,0,T
U5,116,-77.1,0,T
U6,141.6,-77.1,0,T
Y1,143.1,-91.7,0,T
